interactorBAltId,score,biologicalRole,interactionEvidenceEntries,gene
VDAC2,0.67,"A: unspecified role, B: unspecified role",22,HTT
FASN,0.67,"A: unspecified role, B: unspecified role",13,HTT
RAE1,0.67,"A: unspecified role, B: unspecified role",4,HTT
MKRN2,0.67,"A: unspecified role, B: unspecified role",12,HTT
GPM6A,0.67,"A: unspecified role, B: unspecified role",4,HTT
NDUFA13,0.67,"A: unspecified role, B: unspecified role",4,HTT
GTF3C3,0.67,"A: unspecified role, B: unspecified role",12,HTT
PRNP,0.67,"A: unspecified role, B: unspecified role",13,HTT
PTK6,0.67,"A: unspecified role, B: unspecified role",4,HTT
PDK2,0.67,"A: unspecified role, B: unspecified role",10,HTT
PSMD7,0.67,"A: unspecified role, B: unspecified role",10,HTT
HYPK,0.67,"A: unspecified role, B: unspecified role",4,HTT
COX6C,0.67,"A: unspecified role, B: unspecified role",4,HTT
COPB1,0.67,"A: unspecified role, B: unspecified role",6,HTT
EIF3G,0.67,"A: unspecified role, B: unspecified role",4,HTT
PSMD4,0.67,"A: unspecified role, B: unspecified role",5,HTT
CUL5,0.67,"A: unspecified role, B: unspecified role",10,HTT
CCT6A,0.67,"A: unspecified role, B: unspecified role",10,HTT
RANGAP1,0.67,"A: unspecified role, B: unspecified role",10,HTT
IPO4,0.67,"A: unspecified role, B: unspecified role",7,HTT
KPNA3,0.67,"A: unspecified role, B: unspecified role",11,HTT
DCTN2,0.67,"A: unspecified role, B: unspecified role",12,HTT
PSMA6,0.67,"A: unspecified role, B: unspecified role",4,HTT
DNAJA3,0.67,"A: unspecified role, B: unspecified role",5,HTT
G3BP1,0.67,"A: unspecified role, B: unspecified role",16,HTT
COX6A1,0.67,"A: unspecified role, B: unspecified role",4,HTT
NDUFB10,0.67,"A: unspecified role, B: unspecified role",13,HTT
SQSTM1,0.65,"A: unspecified role, B: unspecified role",8,HTT
ULK1,0.61,"A: unspecified role, B: unspecified role",8,HTT
GIT1,0.6,"A: unspecified role, B: unspecified role",10,HTT
PACSIN1,0.59,"A: unspecified role, B: unspecified role",3,HTT
WDFY3,0.58,"A: unspecified role, B: unspecified role",10,HTT
CREBBP,0.57,"A: unspecified role, B: unspecified role",2,HTT
ODF2L,0.56,"A: unspecified role, B: unspecified role",3,HTT
ZNF366,0.56,"A: unspecified role, B: unspecified role",15,HTT
CSNK1D,0.56,"A: unspecified role, B: unspecified role",15,HTT
KRTAP8-1,0.56,"A: unspecified role, B: unspecified role",6,HTT
PPA2,0.56,"A: unspecified role, B: unspecified role",3,HTT
TWIST2,0.56,"A: unspecified role, B: unspecified role",15,HTT
H4C14,0.56,"A: unspecified role, B: unspecified role",3,HTT
RNF183,0.56,"A: unspecified role, B: unspecified role",3,HTT
TEN1,0.56,"A: unspecified role, B: unspecified role",9,HTT
TENT5B,0.56,"A: unspecified role, B: unspecified role",6,HTT
ZNF19,0.56,"A: unspecified role, B: unspecified role",3,HTT
EXOC5,0.56,"A: unspecified role, B: unspecified role",3,HTT
ZKSCAN8,0.56,"A: unspecified role, B: unspecified role",9,HTT
CIDEB,0.56,"A: unspecified role, B: unspecified role",3,HTT
GLIPR1,0.56,"A: unspecified role, B: unspecified role",3,HTT
MTUS1,0.56,"A: unspecified role, B: unspecified role",3,HTT
FYN,0.56,"A: unspecified role, B: unspecified role",12,HTT
HPRT1,0.56,"A: unspecified role, B: unspecified role",15,HTT
SYT15,0.56,"A: unspecified role, B: unspecified role",3,HTT
RUSF1,0.56,"A: unspecified role, B: unspecified role",3,HTT
EDF1,0.56,"A: unspecified role, B: unspecified role",6,HTT
LNX2,0.56,"A: unspecified role, B: unspecified role",3,HTT
ATP6V1B2,0.56,"A: unspecified role, B: unspecified role",3,HTT
TAOK3,0.56,"A: unspecified role, B: unspecified role",3,HTT
SNX2,0.56,"A: unspecified role, B: unspecified role",6,HTT
NDN,0.56,"A: unspecified role, B: unspecified role",6,HTT
H3C13,0.56,"A: unspecified role, B: unspecified role",18,HTT
MTUS1,0.56,"A: unspecified role, B: unspecified role",9,HTT
PSMB8,0.56,"A: unspecified role, B: unspecified role",3,HTT
SEPTIN4,0.56,"A: unspecified role, B: unspecified role",3,HTT
SYCE3,0.56,"A: unspecified role, B: unspecified role",15,HTT
CCT2,0.56,"A: unspecified role, B: unspecified role",6,HTT
MED30,0.56,"A: unspecified role, B: unspecified role",3,HTT
RPL13,0.56,"A: unspecified role, B: unspecified role",3,HTT
COX4I1,0.56,"A: unspecified role, B: unspecified role",3,HTT
CBL,0.56,"A: unspecified role, B: unspecified role",18,HTT
P3H3,0.56,"A: unspecified role, B: unspecified role",6,HTT
USP18,0.56,"A: unspecified role, B: unspecified role",3,HTT
RNF112,0.56,"A: unspecified role, B: unspecified role",21,HTT
AKR1A1,0.56,"A: unspecified role, B: unspecified role",6,HTT
